,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Total Power Consumption
2020-07-14 20:00:00,14.715000000000002,54.13999999999999,0.0815,0.05266666666666667,0.12133333333333333,65112.569358739784
2020-07-14 21:00:00,14.866666666666667,53.50666666666667,0.08066666666666666,0.058666666666666666,0.11683333333333333,64014.53757667977
2020-07-14 22:00:00,15.12,53.165,0.081,0.056333333333333326,0.11383333333333334,62871.4600408646
2020-07-14 23:00:00,15.32,52.055,0.08083333333333333,0.048666666666666664,0.1205,61831.972916899096
2020-07-15 00:00:00,15.146666666666667,54.165,0.081,0.055499999999999994,0.12966666666666668,61049.76046237075
2020-07-15 01:00:00,15.056666666666667,56.303333333333335,0.08033333333333333,0.05383333333333334,0.10916666666666668,59993.88373834404
2020-07-15 02:00:00,14.795,59.041666666666664,0.08066666666666666,0.05316666666666667,0.11566666666666665,59190.99430706089
2020-07-15 03:00:00,14.75,60.053333333333335,0.08166666666666667,0.06716666666666667,0.1045,59683.60228696007
2020-07-15 04:00:00,14.583333333333334,61.16,0.08116666666666666,0.0685,0.09333333333333334,60957.33347575448
2020-07-15 05:00:00,14.621666666666668,61.076666666666675,0.082,0.058,0.09833333333333333,66726.26059126211
2020-07-15 06:00:00,14.645000000000001,60.89833333333333,0.08183333333333333,0.05983333333333333,0.11116666666666668,73023.16464520873
2020-07-15 07:00:00,14.488333333333335,60.78666666666667,0.08066666666666666,0.050166666666666665,0.11866666666666666,69537.16804589414
2020-07-15 08:00:00,13.178333333333333,65.59833333333334,0.08333333333333333,15.862166666666667,11.902666666666667,66403.48421564349
2020-07-15 09:00:00,14.4,60.98333333333333,0.08366666666666667,137.63333333333335,67.88166666666667,66740.2536444424
2020-07-15 10:00:00,15.306666666666667,58.37166666666667,0.08233333333333333,307.8333333333333,90.50166666666667,66777.95122250973
2020-07-15 11:00:00,15.861666666666666,58.405,0.08266666666666667,430.75,148.68333333333334,68154.46207771155
2020-07-15 12:00:00,16.48,53.73833333333334,0.08333333333333333,419.0333333333333,175.78333333333333,68124.09638589477
